route_id,stop_id,EWTMedian
2,8731,354.5862647259713
2,8742,139.75266417800538
4,8743,338.67627766205254
4,8422,146.1048881566324
4,8432,110.10470062909786
4,8442,99.72514748536149
4,8462,105.11714927722274
5,5771,210.0819468330977
5,5772,209.5740724387518
5,5773,251.35979022201198
5,5806,134.9868721556402
5,5701,25.708038522429973
5,5705,368.66733277210255
5,5706,122.90614248787939
5,5707,137.65666675842627
5,6178,104.95574032371722
5,6179,279.68089542960575
5,6209,145.717009975144
5,6253,127.70454849584873
5,5714,131.3749234611276
5,6177,176.63591992105972
10,5059,207.43201055521368
10,5060,157.67283421134633
10,6209,155.99181164325145
10,6253,1641.6660923111058
10,5024,228.24010348815787
10,5025,294.44575939726093
10,5026,167.8070463188066
1,8731,181.3955990797707
1,8721,148.51798048016076
1,8711,823.1525542678821
1,8701,1008.856479046026
1,8691,234.1378377574876
1,8681,1518.4214773070087
1,8671,110.256735783685
1,8661,252.2194237033131
1,8651,56.348535103300335
1,8642,160.9847023983196
1,8652,549.1137213605978
1,8662,54.98687552849404
1,8672,278.6462376524723
1,8682,102.74031122353766
1,8692,52.4741908920211
1,8702,1327.6565925670147
1,8712,74.22760262003445
1,8722,174.74178172957465
1,8732,120.6519721761436
1,8742,129.3063603533761
3,8743,195.67129809969623
3,8422,84.58831066650397
3,8432,99.7220447943456
3,8442,37.54071301774854
3,8462,46.66675784567745
6,5771,232.85384050318314
6,5772,231.7831834288848
6,5773,314.71019485878185
6,5806,123.34172292357687
6,5705,275.16516811247755
6,5706,126.58733895134372
6,5707,292.43292242959996
6,5303,245.74414073376647
6,5355,227.56947573250622
6,5356,234.6965141958928
6,5357,369.38271752195885
6,5359,325.32980312419903
6,5253,289.28871529604356
6,5254,300.9436478917002
6,5258,156.8461281773589
6,3481,161.60234870659914
6,5208,187.80990889562557
6,5210,183.28346015570045
6,5211,229.9581437695059
6,5212,336.239096501884
6,5213,429.58477789113687
6,3480,176.0061806455068
6,5261,152.4818624299176
6,5267,176.70082143583534
6,5352,146.09002997736349
6,5312,210.98519520903076
6,5311,535.7151451758148
6,5205,195.69409346606125
11,5258,152.38170342756624
11,3481,207.8600701850377
11,5208,161.80320164831878
11,5466,123.75211020886854
11,5467,111.43129987982303
11,5475,289.8572140983535
11,5469,176.46449172047087
11,5470,229.65502937158212
11,6314,197.18477787533712
11,5405,166.79604189459116
11,5406,218.35473276173363
11,5404,171.85715266408025
11,5408,238.49606350529834
11,5409,189.1921595190869
11,5418,264.6773937918966
11,5419,280.32770758463187
11,5421,178.44941178028247
11,5422,174.89915008359355
11,5423,131.82526322895845
11,2077,228.40304317651248
11,2086,398.5387003059647
11,5426,155.6172573673493
11,5427,286.6803266742017
11,2014,387.54382590561937
11,2026,271.01764004414366
11,5430,268.28357555680986
11,5452,197.14091570751955
11,5453,546.669814053763
11,5455,470.4871091645129
11,5456,215.19309237929824
11,5468,136.7612441254847
18,1780,388.8411423105888
18,6433,nan
18,6432,nan
18,2247,nan
18,4556,nan
18,5044,111.36327759633448
18,3018,120.46134409163602
18,3017,nan
18,5048,nan
18,2695,nan
18,2250,nan
20,4112,472.68635143517
20,4105,468.5732578274164
20,2519,230.06409593541542
20,4116,nan
20,1112,nan
20,1183,nan
20,4152,nan
20,1303,nan
20,4158,nan
20,4163,nan
20,1732,172.89553624546664
20,1743,731.5307905316969
20,1744,293.03253831862094
20,1334,369.0313953073571
20,1606,269.4507313434391
20,1010,177.3605386388357
20,1747,84.7038013461736
20,1748,572.1146249325544
20,2423,298.4267565753478
20,1115,nan
20,4111,300.0229083012142
20,1179,nan
20,1180,nan
20,2422,nan
20,1710,nan
20,9103,nan
20,1599,nan
20,1328,nan
20,1721,nan
20,1722,nan
20,2849,674.8204606797392
20,2850,nan
21,1743,nan
21,1744,nan
21,1328,nan
21,1721,nan
21,1722,nan
21,1349,nan
21,1016,nan
21,1024,nan
21,1348,nan
21,1350,nan
21,1351,nan
21,6481,nan
21,4228,nan
21,4223,nan
21,1768,nan
21,2801,nan
21,2584,nan
21,2586,nan
21,1775,nan
21,1782,nan
21,5009,nan
21,5011,nan
21,1019,nan
21,1082,nan
21,1056,nan
21,5074,nan
21,5076,nan
21,1766,nan
21,1767,nan
21,2498,nan
21,1755,nan
21,1103,nan
21,4071,nan
21,4261,nan
21,4268,nan
21,6482,nan
22,4351,nan
22,4348,nan
22,4355,nan
22,1455,nan
22,4357,nan
22,4358,nan
22,4310,nan
22,4311,nan
22,1453,nan
22,4313,nan
13,5103,82.60263151777183
13,1064,158.32612665837848
13,1111,252.7436350675536
13,5108,183.85569606672647
13,5109,110.66143937568103
13,5165,251.23726557631824
13,5166,77.48202478116069
13,5010,254.6478894987421
13,2869,93.82355903838068
13,5082,388.375896944325
13,5003,258.53486675222865
23,4111,122.45062820784295
23,1083,nan
23,1030,nan
23,1349,nan
23,1016,nan
23,1024,nan
23,1348,nan
23,1350,nan
23,4213,nan
23,4214,nan
23,1351,nan
23,1197,209.89578449668693
23,1097,215.10764182491894
23,1142,308.4651091379958
23,1105,nan
23,1306,111.28758414458454
23,1119,216.506844851811
23,1096,-200.32649629479502
23,2073,228.01852706245012
23,2081,264.0876347302386
23,1792,185.09374926376685
23,1900,426.31996976646695
23,1793,nan
23,2082,159.1237863000401
23,2072,381.301712123946
23,1198,232.9859307193191
23,1120,194.30012810613263
23,4066,422.4761234401474
23,1307,224.34374624707368
19,1416,nan
19,1403,nan
19,3904,nan
19,3905,nan
19,3956,nan
19,3957,nan
19,1476,nan
19,1160,nan
19,1132,nan
19,1133,nan
19,4556,nan
19,2695,nan
19,2083,nan
19,1419,nan
19,3251,nan
19,6448,nan
19,3961,nan
19,4558,nan
19,4555,nan
19,3450,nan
19,3201,440.4847314937927
19,3199,nan
19,3203,nan
19,3204,nan
19,3279,nan
19,3280,nan
25,5714,111.89488794749845
25,3480,397.12127948087476
25,5261,164.93776172988382
25,5267,166.6157413161798
25,5352,169.49317848164463
25,5312,224.81963960902613
25,5311,419.19759657869196
25,5205,210.17169214575173
25,5468,123.32991485055204
25,6258,165.80938506156951
25,6204,202.3730716690038
25,5762,129.65785698732572
25,6202,118.79752395898247
28,1830,1164.1241856893537
28,6021,nan
28,6055,nan
28,6056,nan
28,2919,400.47456542056267
28,1403,nan
28,1404,nan
28,6449,nan
28,1406,nan
28,1424,nan
28,1140,321.03153777796945
28,1141,295.2458480417075
28,1408,340.67198077220684
28,6476,228.86104189548507
28,1410,392.7064363054101
28,1421,435.0364244780107
28,1412,222.01532959663905
28,1422,588.2823724857309
28,1423,400.13728584334945
28,1415,197.0987191074987
28,1831,309.76465997421184
28,1832,259.63221668101795
28,1451,196.52582807117108
28,1450,284.7339122081265
28,1454,1620.3706202509197
28,1449,397.80345202188676
28,1456,845.8768559682968
28,6477,619.7012018554731
28,1458,406.78665488494414
28,1152,179.68693600872422
28,1153,87.65898631165854
28,1459,nan
28,1460,nan
28,6450,nan
28,1462,nan
29,2301,662.9394224143831
29,2595,866.0874201256594
29,1820,227.71001615949493
29,2296,231.72529591025082
29,6447,301.03666867867014
29,3910,534.9745870395326
29,1522,301.92862446174075
29,3899,224.93122560492318
29,1528,343.36302562605954
29,1552,98.25094076699354
29,1553,252.28289286874679
29,1554,475.03949193326116
29,1379,154.6127865739854
29,1540,303.5340280101174
29,1525,141.03404519474938
29,1526,338.89378684912276
29,1527,219.43887178196348
32,2177,nan
34,6433,288.7462802289244
34,1729,207.14399479327756
34,1233,64.29384618861356
34,1776,450.2461116238598
34,6432,116.30439563078176
34,1983,330.9916368748679
34,1824,-82.40176870520908
34,1706,266.07117536850166
34,1728,207.2323436511322
34,1733,137.54776577645347
34,1712,168.54852912666055
34,1713,87.39323870084972
34,1714,192.1797157830198
34,1715,138.1603836725022
34,1716,192.90064086228367
34,1719,187.12280581942414
34,1731,193.54912357002024
34,2058,nan
34,2725,nan
34,2727,nan
34,2728,427.35721972687435
34,1751,183.8346244985181
34,1757,129.1617570527902
34,1760,254.59468497769603
34,1779,107.26875051402008
34,1762,150.93414462671726
34,1278,-31.083984421071108
34,1764,131.88882146875665
34,1769,111.26927252646335
34,2752,nan
34,2753,nan
34,2009,nan
35,1830,458.35396715145384
35,1846,nan
35,1847,nan
35,1302,nan
35,1840,nan
35,1850,nan
35,1851,nan
35,1852,nan
35,1853,nan
35,1854,nan
35,1802,nan
35,1804,nan
35,1805,nan
35,1806,nan
35,1807,nan
35,6473,nan
35,1809,nan
35,1810,nan
35,1811,nan
35,1812,nan
35,1813,nan
35,1815,nan
35,1816,nan
35,5287,nan
35,1818,nan
35,1819,nan
35,1834,nan
35,1821,nan
35,1822,nan
35,1823,nan
35,1825,nan
35,1826,nan
35,1835,nan
35,1252,nan
35,1828,nan
35,1829,nan
35,1841,nan
35,1856,nan
35,1857,nan
35,5273,nan
35,1859,nan
35,1860,nan
35,1861,nan
35,1862,nan
35,1863,nan
35,1864,nan
35,1865,nan
35,1866,nan
35,6472,nan
35,1868,nan
35,1869,nan
35,1870,nan
35,1873,nan
35,1416,nan
