route_id,stop_id,EWT1,EWT2,EWT3,EWT4,EWT5,EWT6,EWT7,EWT8,EWT9,EWT10
1,8711,855.7449611815397,847.6739697809561,615.1851680650367,974.006118043996,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
1,8701,1988.118782994055,614.7909769093006,704.6467789179948,727.8693773627539,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
1,8691,242.8468721051439,232.19707565556755,213.02940601944815,248.47799724979086,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
1,8681,1419.7429937973743,557.1578921561531,729.9213329908196,3366.863690283688,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
1,8671,152.86171915318647,129.77943790825105,105.52348882589979,52.862297247402694,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
1,8661,269.2322908821665,237.56369466774436,315.341306574388,186.74040268895345,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
1,8651,82.80423107880742,51.57490440876836,67.52603860432848,23.488966321297085,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
1,8642,127.01720245254072,131.469893814657,71.78234879047659,313.66936453560413,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
1,8652,500.53094692403056,473.9541752147179,587.0864431853635,634.8833201182795,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
1,8662,96.94936971777466,68.41644220117925,34.396188635397834,20.185501559624413,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
1,8672,195.25792784356457,217.367012898862,406.59269033183136,295.3673195356311,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
1,8682,121.44791842379365,74.2555004628905,77.03418026485997,138.2236457426065,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
1,8692,83.69577851019005,66.511778148368,31.234958725012774,28.454248184513574,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
1,8702,2698.2623536940473,701.4408707218222,1231.342428415755,679.580717436435,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
1,8712,174.0363515752858,49.66896817463129,41.1831335242488,32.02195720597186,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
1,8722,346.7527862050305,95.3349467582479,152.0680291294177,104.81136482560254,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
1,8732,239.46714608751702,68.5466298195526,77.60951862028017,96.98459417722464,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
1,8742,272.20082412845954,34.05690441229251,33.50611710207818,177.4615957706742,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
3,8743,166.45542895003982,298.2691968398555,112.09453186023256,205.8660347486571,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
3,8422,130.5852633198927,65.21261844721786,78.30534204644047,64.25001885246485,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
3,8432,142.61768288667812,79.5831059078543,77.2701062786634,99.41728410418659,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
3,8442,71.48851856549015,17.546615919282033,41.59943381089337,19.52828377532859,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
3,8462,108.28911647233096,14.039880720577827,52.99282654128206,11.345207648518965,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
6,5771,200.84302415405128,313.03299132757695,180.6440485119475,236.89529801915683,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
6,5772,238.86464698999188,175.63372139371856,426.2683053361351,86.36605999569358,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
6,5773,212.06867998369674,597.6605585753016,330.27308948591815,118.83845139021099,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
6,5806,78.99114141817742,126.56769622048444,256.2241302770937,31.583923778551906,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
6,5705,132.06879908201134,308.11922068271707,103.40155878210967,557.0710939030722,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
6,5706,55.4804889959739,222.01177228734366,21.76140182103427,207.095692701023,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
6,5707,82.44604055060589,779.3232032691305,58.83747398695837,249.12497191170516,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
6,5303,277.3024669385528,239.0169088765509,97.11118640767663,369.5460007122855,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
6,5355,151.0608787320451,274.876337610914,213.28459176904016,271.0560948180256,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
6,5356,220.22089945173042,240.69653290018536,198.7382102869083,279.13041414474725,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
6,5357,412.71991345684694,542.5328724050182,208.95374429479944,313.3243399311708,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
6,5359,247.00344739531224,489.6060268203672,295.37612457514297,269.3336137059737,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
6,5253,154.80410216826965,394.5584361550885,318.50360756477255,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
6,5254,139.78831349302789,218.35008127878797,544.6925489032847,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
6,5258,119.17299565578966,115.7533646471772,235.61202422910984,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
6,3481,191.61387808707636,185.68977328897293,107.50339474374817,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
6,5208,172.74292830791927,250.76310799341957,139.92369038553787,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
6,5210,172.5696114843004,275.75637705642947,101.52439192637146,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
6,5211,241.23762711667612,354.70742329107003,93.92938090077158,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
6,5212,399.2941026165164,449.44521195074043,159.9779749383952,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
6,5213,503.92738111363667,508.50264419818274,276.3243083615913,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
6,3480,121.5354331381352,276.15602668624365,115.02631657444715,191.30694618320112,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
6,5261,210.51136696992702,141.14429864817743,123.51599819292122,134.75578590864484,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
6,5267,129.262043845778,157.26843908879505,191.23885959927023,229.03394320949803,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
6,5352,148.9328760050273,204.58538404504358,156.6856265370293,74.15623332235378,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
6,5312,111.00555267274575,285.9884395816422,95.9946963078936,350.9520922738415,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
6,5311,269.43434018746586,401.68254000113586,278.3255630395722,1193.4181374750854,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
6,5205,143.79780428181675,203.81383312816794,193.1182271008734,242.04650935338697,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
11,5258,89.71563183482732,202.8479395069605,164.58153894091095,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
11,3481,188.67974893838368,172.9401816330254,261.9602799837041,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
11,5208,153.73695395408768,162.6106875757093,169.06196341515937,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
11,5466,136.47373423625055,123.48452369880297,111.29807269155211,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
11,5467,141.40092027032932,68.30244217724257,124.5905371918972,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
11,5475,266.1163165064762,262.58086738344457,340.87445840513965,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
11,5469,165.29435463140226,201.26398150431007,162.83513902570027,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
11,5470,160.18792967848788,380.3468241620302,148.4303342742282,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
11,6314,125.09012673542225,214.46030938614908,252.00389750444,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
11,5405,66.40542216296669,224.0975179581478,209.885185562659,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
11,5406,116.81164924778247,252.37982282340775,285.87272621401064,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
11,5404,99.86435713867226,153.7082677010924,261.9988331524761,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
11,5408,165.2424918713227,282.98827202680945,267.2574266177628,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
11,5409,167.00309514788668,139.45837985904564,261.1150035503284,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
11,5418,206.28747104726094,255.47517322651012,332.2695371019188,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
11,5419,398.2159708103384,265.95034485099825,176.816807092559,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
11,5421,191.57156788923237,276.30624665879316,67.4704207928219,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
11,5422,98.39709843100971,245.88265751003283,180.4176943097381,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
11,5423,100.1537989350156,166.95285692602158,128.3691338258381,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
11,2077,132.85101637265413,440.4736966874759,111.8844164694074,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
11,2086,225.81433058551622,244.3427616562118,725.4590086761661,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
11,5426,84.839057717283,158.22460485118623,223.78810953357868,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
11,5427,251.38764420258195,271.4097535325503,337.2435822874727,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
11,2014,246.76240335593297,242.0558176493474,673.8132567115777,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
11,2026,227.76182213024614,233.30493728793158,351.9861607142533,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
11,5430,132.8900121692263,399.0816271586911,272.8790873425122,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
11,5452,119.36654051871781,152.20085067901056,319.8553559248303,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
11,5453,151.61414029987503,299.8350674286322,1188.560234432782,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
11,5455,412.4513742323893,246.29568846417789,752.7142647969715,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
11,5456,183.8993928685658,103.08564410890395,358.594240160425,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
11,5468,63.34241468203459,116.09858826599779,230.8427294284217,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0,Problem with SWT = 0
