route_id,stop_id,ArrivalTime
2,8731,22489.385999917984
2,8731,23747.90700006485
2,8731,24712.12299990654
2,8731,25590.93499994278
2,8731,30542.36999988556
2,8731,32078.50300002098
2,8731,33613.21199989319
2,8731,35568.388000011444
2,8731,36156.075000047684
2,8731,36538.542999982834
2,8731,36927.46700000763
2,8731,37282.8029999733
2,8731,38258.59100008011
2,8731,38876.421000003815
2,8731,39172.424000024796
2,8731,40080.73200011253
2,8731,40598.578000068665
2,8731,40986.888999938965
2,8731,41439.611000061035
2,8731,41956.94600009918
2,8731,42351.91199994087
2,8731,42908.88000011444
2,8731,43465.64499998093
2,8731,43918.05599999428
2,8731,44730.108000040054
2,8731,45122.0039999485
2,8731,45380.673000097275
2,8731,47359.09299993515
2,8731,47747.299999952316
2,8731,48588.73799991608
2,8731,48870.34400010109
2,8731,49163.31500005722
2,8731,49549.16400003433
2,8731,50294.953999996185
2,8731,51622.700000047684
2,8731,52041.01200008392
2,8731,52624.700999975204
2,8731,52922.076999902725
2,8731,53179.31299996376
2,8731,53403.980999946594
2,8731,53967.29200005531
2,8731,54287.706000089645
2,8731,54541.15199995041
2,8731,54929.051000118256
2,8731,55503.325000047684
2,8731,56279.94600009918
2,8731,57284.170000076294
2,8731,57543.59299993515
2,8731,58735.65499997139
2,8731,59220.93000006676
2,8731,59708.46700000763
2,8731,60161.90199995041
2,8731,61846.920000076294
2,8731,62173.173000097275
2,8731,62552.77800011635
2,8731,63062.53900003433
2,8731,63319.25900006294
2,8731,63740.236999988556
2,8731,63964.394000053406
2,8731,64544.91100001335
2,8731,64860.924999952316
2,8731,65754.18099999428
2,8731,66728.74399995804
2,8731,67023.76399993896
2,8731,67347.76399993896
2,8731,68223.09299993515
2,8731,68750.97199988365
2,8731,69760.85199999809
2,8731,70021.0529999733
2,8731,70344.94799995422
2,8731,71057.2539999485
2,8731,71683.44199991226
2,8731,72145.3789999485
2,8731,72666.70799994469
2,8731,73354.13499999046
2,8731,73845.46300005913
2,8731,74472.57800006866
2,8731,75158.88400006294
2,8731,75644.27699995041
2,8731,76264.22699999809
2,8731,76819.35400009155
2,8731,77443.90899991989
2,8731,78029.03600001335
2,8731,78771.86500000954
2,8731,79342.34899997711
2,8731,79849.95799994469
2,8731,80449.21799993515
2,8731,81022.15899991989
2,8731,83499.16199994087
2,8731,84012.91199994087
2,8742,21203.108999967575
2,8742,22427.332000017166
2,8742,23557.44000005722
2,8742,24460.522000074387
2,8742,25342.609999895096
2,8742,26226.74699997902
2,8742,27145.4960000515
2,8742,28189.99399995804
2,8742,28827.239000082016
2,8742,29652.4960000515
2,8742,30382.520999908447
2,8742,31086.53600001335
2,8742,31791.367000102997
2,8742,32524.260999917984
2,8742,33004.83699989319
2,8742,33613.21199989319
2,8742,34190.25300002098
2,8742,34861.80800008774
2,8742,35344.43000006676
2,8742,35765.41000008583
2,8742,36218.33500003815
2,8742,36669.105999946594
2,8742,37122.33899998665
2,8742,37542.69799995422
2,8742,38031.25900006294
2,8742,38451.105999946594
2,8742,38941.71399998665
2,8742,39367.90899991989
2,8742,39818.99000000954
2,8742,40404.013999938965
2,8742,40825.60400009155
2,8742,41215.042999982834
2,8742,41603.043999910355
2,8742,42056.480999946594
2,8742,42515.03999996185
2,8742,42940.72699999809
2,8742,43498.706000089645
2,8742,43885.08500003815
2,8742,44309.02699995041
2,8742,44762.117000103
2,8742,45184.367000103
2,8742,45576.26200008392
2,8742,47095.918999910355
2,8742,47486.891000032425
2,8742,47875.40499997139
2,8742,48263.201999902725
2,8742,48620.174999952316
2,8742,49001.03999996185
2,8742,49484.65100002289
2,8742,49872.957000017166
2,8742,49998.80900001526
2,8742,50551.88000011444
2,8742,50877.31500005722
2,8742,51328.39700007439
2,8742,51655.05900001526
2,8742,52203.831000089645
2,8742,52658.28900003433
2,8742,53082.64299988747
2,8742,53373.77200007439
2,8742,53636.94499993324
2,8742,54064.66499996185
2,8742,54413.96799993515
2,8742,54637.71700000763
2,8742,55184.4430000782
2,8742,55567.019000053406
2,8742,56018.28900003433
2,8742,56313.53399991989
2,8742,56641.52999997139
2,8742,57444.77500009537
2,8742,57704.86299991608
2,8742,57963.23799991608
2,8742,58410.734999895096
2,8742,58735.65499997139
2,8742,59057.80500006676
2,8742,59414.47399997711
2,8742,59805.03200006485
2,8742,60161.90199995041
2,8742,60455.89700007439
2,8742,61166.765000104904
2,8742,61492.608999967575
2,8742,61942.361000061035
2,8742,62296.77200007439
2,8742,62997.10100007057
2,8742,63349.98000001907
2,8742,63642.953000068665
2,8742,63899.67700004578
2,8742,64348.81100010872
2,8742,64607.582000017166
2,8742,65181.4430000782
2,8742,65406.72900009155
2,8742,65722.1289999485
2,8742,66267.93499994278
2,8742,66762.33299994469
2,8742,67090.3259999752
2,8742,67512.32399988174
2,8742,67769.66000008583
2,8742,68287.50300002098
2,8742,68817.43000006676
2,8742,69269.22600007057
2,8742,69598.13700008392
2,8742,70051.67100000381
2,8742,70410.05100011826
2,8742,70991.10400009155
2,8742,71617.39499998093
2,8742,72111.58699989319
2,8742,72698.75999999046
2,8742,73320.65000009537
2,8742,73909.05500006676
2,8742,74502.78699994087
2,8742,75420.11599993706
2,8742,75710.42899990082
2,8742,76297.10299992561
2,8742,76883.55999994278
2,8742,77509.85700011253
2,8742,78128.1440000534
2,8742,78738.68799996376
2,8742,79405.0190000534
2,8742,79915.29099988937
2,8742,80513.7309999466
2,8742,81086.56999993324
2,8742,82895.19499993324
2,8742,83691.88400006294
2,8742,84714.16000008583
2,8742,85914.20799994469
2,8742,87232.3299999237
2,8292,21298.240999937057
2,8292,22520.31200003624
2,8292,23652.980999946594
2,8292,24587.704999923706
2,8292,25435.078999996185
2,8292,26322.493000030518
2,8292,27238.680999994278
2,8292,28285.332000017166
2,8292,30479.289999961853
2,8292,31889.266000032425
2,8292,32648.680000066757
2,8292,33100.480999946594
2,8292,35441.507999897
2,8292,35861.83800005913
2,8292,36312.545000076294
2,8292,36766.798000097275
2,8292,37219.00600004196
2,8292,37642.13100004196
2,8292,38583.10199999809
2,8292,39039.301000118256
2,8292,39465.39499998093
2,8292,41342.94400000572
2,8292,41698.483000040054
2,8292,42643.24799990654
2,8292,43071.701999902725
2,8292,44013.59699988365
2,8292,44435.15599989891
2,8292,44856.67899990082
2,8292,45705.698999881744
2,8292,47195.24900007248
2,8292,47585.09400010109
2,8292,48007.60700011253
2,8292,48360.075000047684
2,8292,48714.18099999428
2,8292,49098.90400004387
2,8292,49580.91000008583
2,8292,49966.450000047684
2,8292,50129.986000061035
2,8292,51749.37599992752
2,8292,52755.671999931335
2,8292,53179.31299996376
2,8292,53505.15499997139
2,8292,53835.09200000763
2,8292,54191.448999881744
2,8292,54509.81599998474
2,8292,54766.74300003052
2,8292,55342.96199989319
2,8292,55695.65499997139
2,8292,56115.89800000191
2,8292,56441.53800010681
2,8292,56704.90499997139
2,8292,57575.953999996185
2,8292,57835.33800005913
2,8292,58089.1930000782
2,8292,58543.24300003052
2,8292,58834.26799988747
2,8292,59543.703000068665
2,8292,59868.51999998093
2,8292,60291.233000040054
2,8292,60584.30599999428
2,8292,61264.15000009537
2,8292,61622.5569999218
2,8292,62389.34400010109
2,8292,63095.71499991417
2,8292,63770.956000089645
2,8292,63995.93400001526
2,8292,64480.91000008583
2,8292,64699.1289999485
2,8292,65537.70300006866
2,8292,66861.96900010109
2,8292,67188.83599996567
2,8292,68947.17300009727
2,8292,71717.2349998951
2,8292,72244.70900011063
2,8292,72799.31900000572
2,8292,73417.72699999809
2,8292,74602.61500000954
2,8292,75516.47699999809
2,8292,75808.94099998474
2,8292,76398.47699999809
2,8292,77641.64800000191
2,8292,78864.53900003433
2,8292,79499.53699994087
2,8292,83789.06100010872
2,8292,86008.82899999619
2,8282,21362.243000030518
2,8282,22582.06100010872
2,8282,23716.265000104904
2,8282,24650.989000082016
2,8282,25497.03200006485
2,8282,26386.90400004387
2,8282,27302.273000001907
2,8282,28348.512000083923
2,8282,28984.426000118256
2,8282,29843.990000009537
2,8282,30511.19000005722
2,8282,31246.075999975204
2,8282,31953.674999952316
2,8282,32712.37400007248
2,8282,33165.608999967575
2,8282,33742.34299993515
2,8282,34349.38700008392
2,8282,35022.78500008583
2,8282,35537.66499996185
2,8282,35927.00200009346
2,8282,36376.64700007439
2,8282,36830.28699994087
2,8282,37282.8029999733
2,8282,37706.74699997902
2,8282,38193.77300000191
2,8282,39105.34999990463
2,8282,39559.50200009346
2,8282,39981.709000110626
2,8282,40598.578000068665
2,8282,41019.75999999046
2,8282,41407.55900001526
2,8282,41763.507999897
2,8282,42219.81299996376
2,8282,42710.93799996376
2,8282,43104.266000032425
2,8282,43658.36599993706
2,8282,44079.13400006294
2,8282,44498.3710000515
2,8282,44922.62599992752
2,8282,45380.673000097275
2,8282,45739.18600010872
2,8282,46903.71000003815
2,8282,47260.27399992943
2,8282,47650.84599995613
2,8282,48071.81299996376
2,8282,48776.44099998474
2,8282,49163.31500005722
2,8282,49677.882999897
2,8282,50030.861000061035
2,8282,50162.959000110626
2,8282,50715.41700005531
2,8282,51038.39700007439
2,8282,51491.62700009346
2,8282,51812.24699997902
2,8282,52365.420000076294
2,8282,52819.77699995041
2,8282,53276.49099993706
2,8282,53603.25500011444
2,8282,53901.34500002861
2,8282,54256.16700005531
2,8282,54575.15499997139
2,8282,54862.489000082016
2,8282,55408.19199991226
2,8282,55758.614000082016
2,8282,56180.923000097275
2,8282,56506.97300004959
2,8282,56802.200000047684
2,8282,57639.953999996185
2,8282,57899.236999988556
2,8282,58153.19499993324
2,8282,58605.09299993515
2,8282,58898.77999997139
2,8282,59220.93000006676
2,8282,59609.34299993515
2,8282,59935.69000005722
2,8282,60355.84800004959
2,8282,60649.22799992561
2,8282,61330.71300005913
2,8282,61689.32299995422
2,8282,62110.05200004578
2,8282,62454.676000118256
2,8282,63163.40300011635
2,8282,63546.49000000954
2,8282,63834.31999993324
2,8282,64063.007999897
2,8282,64544.91100001335
2,8282,64761.28800010681
2,8282,65374.983999967575
2,8282,65569.1400001049
2,8282,65884.13000011444
2,8282,66435.97699999809
2,8282,66925.97099995613
2,8282,67252.94000005722
2,8282,67673.60700011253
2,8282,67901.65599989891
2,8282,68459.43499994278
2,8282,68978.81500005722
2,8282,69399.68499994278
2,8282,69760.85199999809
2,8282,70216.02500009537
2,8282,70571.35800004005
2,8282,71125.35100007057
2,8282,71783.33899998665
2,8282,72307.4809999466
2,8282,72897.11299991608
2,8282,73452.33899998665
2,8282,74074.94799995422
2,8282,74667.76099991798
2,8282,75579.14800000191
2,8282,75905.40599989891
2,8282,76463.40899991989
2,8282,77049.34999990463
2,8282,77673.80200004578
2,8282,78290.89499998093
2,8282,78928.54299998283
2,8282,79561.69499993324
2,8282,80070.12400007248
2,8282,80671.63499999046
2,8282,81271.507999897
2,8282,83083.3069999218
2,8282,83918.59999990463
2,8282,84902.98900008202
2,8282,87419.01099991798
2,8272,21489.631999969482
2,8272,23808.631999969482
2,8272,24743.96900010109
2,8272,25590.93499994278
2,8272,26481.933000087738
2,8272,27398.838000059128
2,8272,28442.414000034332
2,8272,29908.398000001907
2,8272,31340.081000089645
2,8272,32046.34899997711
2,8272,32811.60199999809
2,8272,33261.97000002861
2,8272,33871.37199997902
2,8272,36024.6930000782
2,8272,36474.132999897
2,8272,36927.46700000763
2,8272,37381.519000053406
2,8272,37837.41199994087
2,8272,38749.60700011253
2,8272,39203.65599989891
2,8272,39622.50699996948
2,8272,40080.73200011253
2,8272,41147.046999931335
2,8272,41603.043999910355
2,8272,41859.2539999485
2,8272,44176.78200006485
2,8272,45477.85299992561
2,8272,46773.59500002861
2,8272,48168.78699994087
2,8272,48489.83299994469
2,8272,48903.72699999809
2,8272,49289.575999975204
2,8272,49775.99000000954
2,8272,50129.986000061035
2,8272,50294.953999996185
2,8272,50845.263000011444
2,8272,51170.293999910355
2,8272,51591.263000011444
2,8272,51941.375
2,8272,52922.076999902725
2,8272,53341.72099995613
2,8272,53770.27300000191
2,8272,54032.72600007057
2,8272,54351.70799994469
2,8272,54669.97399997711
2,8272,54991.41400003433
2,8272,55503.325000047684
2,8272,55856.921000003815
2,8272,56279.94600009918
2,8272,56607.43000006676
2,8272,56898.45799994469
2,8272,57740.81999993324
2,8272,57995.700000047684
2,8272,58280.27600002289
2,8272,58993.60400009155
2,8272,59322.516999959946
2,8272,59708.46700000763
2,8272,60032.97699999809
2,8272,60455.89700007439
2,8272,60744.359999895096
2,8272,61428.09500002861
2,8272,61816.09599995613
2,8272,62204.81500005722
2,8272,63611.00500011444
2,8272,63931.426000118256
2,8272,64157.93400001526
2,8272,64668.61299991608
2,8272,64895.12700009346
2,8272,65504.72799992561
2,8272,65691.20399999619
2,8272,66016.43300008774
2,8272,66499.67100000381
2,8272,67023.76399993896
2,8272,67381.14899992943
2,8272,67802.02500009537
2,8272,67999.24499988556
2,8272,68555.69199991226
2,8272,69888.95600008965
2,8272,70311.36100006104
2,8272,70668.84400010109
2,8272,71883.54699993134
2,8272,72402.20399999619
2,8272,72993.14899992943
2,8272,74174.48300004005
2,8272,74769.54699993134
2,8272,75972.48000001907
2,8272,76557.9200000763
2,8272,78385.2950000763
2,8272,79021.00999999046
2,8272,79689.08299994469
2,8272,80766.05100011826
2,8272,81362.03299999237
2,8272,84045.98799991608
2,8272,84999.65599989891
2,8272,86169.90700006485
2,8012,21521.68400001526
2,8012,22737.09699988365
2,8012,23900.28099989891
2,8012,24837.46199989319
2,8012,25656.36899995804
2,8012,26546.34299993515
2,8012,27462.83899998665
2,8012,28506.823999881744
2,8012,29178.0680000782
2,8012,29970.762000083923
2,8012,30698.941999912262
2,8012,31404.390000104904
2,8012,32142.40199995041
2,8012,32875.19400000572
2,8012,33325.766999959946
2,8012,33905.00999999046
2,8012,35181.50699996948
2,8012,35700.078999996185
2,8012,36091.56200003624
2,8012,36538.542999982834
2,8012,36991.16100001335
2,8012,37447.25900006294
2,8012,37870.18099999428
2,8012,38388.02600002289
2,8012,38812.58299994469
2,8012,39267.34999990463
2,8012,39722.117000103
2,8012,40177.27699995041
2,8012,40760.78299999237
2,8012,41215.042999982834
2,8012,41665.510999917984
2,8012,41924.790999889374
2,8012,42351.91199994087
2,8012,42844.36599993706
2,8012,43269.74799990654
2,8012,43818.420000076294
2,8012,44243.38700008392
2,8012,45543.28900003433
2,8012,47062.84400010109
2,8012,47389.915999889374
2,8012,47811.71099996567
2,8012,48231.66199994087
2,8012,48588.73799991608
2,8012,48969.16100001335
2,8012,49355.829999923706
2,8012,50197.05800008774
2,8012,50360.799000024796
2,8012,50909.16300010681
2,8012,51233.57299995422
2,8012,51655.05900001526
2,8012,52007.424999952316
2,8012,52658.28900003433
2,8012,53437.44000005722
2,8012,53867.757999897
2,8012,54096.625
2,8012,54734.28200006485
2,8012,55088.59400010109
2,8012,55600.40199995041
2,8012,55921.739000082016
2,8012,56343.641000032425
2,8012,56704.90499997139
2,8012,56962.168999910355
2,8012,57802.87599992752
2,8012,58089.1930000782
2,8012,58344.78800010681
2,8012,58801.8069999218
2,8012,59089.14499998093
2,8012,59383.75300002098
2,8012,59774.0039999485
2,8012,60129.33599996567
2,8012,60810.71499991417
2,8012,61492.608999967575
2,8012,61877.334000110626
2,8012,62265.74499988556
2,8012,62616.26799988747
2,8012,63349.98000001907
2,8012,63708.49099993706
2,8012,63995.93400001526
2,8012,64250.709000110626
2,8012,64730.25999999046
2,8012,64961.68899989128
2,8012,65569.1400001049
2,8012,65785.51699995995
2,8012,66594.28999996185
