route_id,stop_id,EWT1,EWT2,EWT3,EWT4,EWT5,EWT6
2,8011,235.1704684871296,117.6303370171969,667.1613457127064,178.47164000154476,116.3278034028647,551.346912451316
2,8012,942.9780931428922,335.3570824869864,302.29227056869297,186.99103838115983,557.3219531239839,699.1541936616795
2,8021,560.5666639612948,496.29367262485306,620.6092103121475,155.14772767407794,757.7863127504505,958.486298733799
2,8022,518.9909108844051,326.5018847228581,393.2854247727356,455.9740270993774,275.4721475677577,312.41488599732907
2,8031,389.150885932425,321.0380122860721,493.94867596271456,278.08239659990403,508.38100467676384,675.4248682813193
2,8032,468.7692458017022,410.521387977245,892.0319025122567,395.0881988067657,581.8493374673272,538.5358367633348
2,8041,274.7566106878172,318.37840775444596,383.96877279510306,246.89441336304407,341.3303721401568,1095.8558158272035
2,8042,769.148892699684,387.13132897835357,655.236562660167,444.0263181422383,246.6649893018822,794.8373956042847
2,8051,357.4158095610145,649.4926721804679,410.2130720210465,629.7909777435246,305.26756441071666,444.86768926020267
2,8052,745.7452968762395,275.4747326938956,330.4712044236353,140.7687540905428,327.0134078640024,185.76947973936524
2,8061,550.6041806484525,382.05084113951875,350.15738378821993,397.4254943415158,185.80151210964883,336.8234439623862
2,8062,553.3913733469827,580.209816585007,1046.2820721006194,451.4358126247988,368.0479474580059,331.07382790016413
2,8071,310.8171485481436,428.19274654228667,234.2488136622266,199.5452428681313,562.5968740834788,99.39933358174375
2,8072,582.1658264730611,558.6522944019755,324.60666982199814,479.965947752042,441.39168305978797,968.6583431290871
2,8081,333.0103435709759,305.2279947339356,122.8166117359848,346.8220263759938,162.98003415000952,53.50424355175289
2,8082,1003.43872948303,418.5455460146616,244.39714309546076,313.9901865518269,375.1806700038817,888.6332964047137
2,8091,684.130960937564,425.0679277127115,458.07822499439135,484.51230549538406,247.3990936687665,845.5922210975248
2,8092,1078.183416094717,530.4753067296305,515.524357046474,471.3333060081877,654.8825505164757,500.06420264179405
2,8101,1384.474981728478,468.88354574584594,525.4050036172575,696.315365715742,245.43143891016578,410.298243818607
2,8102,1309.552997351033,798.0320263266838,1072.3811952139786,259.15364197754525,738.3038356220779,176.15895009279575
2,8111,695.4247783564878,267.9581056853118,211.93685959849506,190.92372899414102,142.71319259844415,354.51195332148353
2,8112,645.3543164717956,421.6839705579994,627.5209135246953,325.0667916787678,791.9841946109844,872.8416734531891
2,8121,809.4439654637828,503.4787170497974,427.72785821671846,555.3634069395605,216.81269560885733,1801.0123804831633
2,8122,594.7573383210531,67.84585133772882,180.38001198739818,227.85846327058147,252.12315548614046,282.49891023985106
2,8131,166.36363869294306,198.8620343329703,185.54296593720449,135.4630787213244,146.80130683487144,183.98272491895415
2,8132,670.991914572815,1435.435851953823,732.7689008533617,615.9630470167108,712.1735954499601,303.06770028676635
2,8141,484.11731393034216,329.29711179940466,708.6396271141288,528.2623510291392,527.6820000100591,460.07992648267697
2,8142,307.0263021859484,180.88303499445848,206.72766259941767,430.5751051106287,171.44741812785927,461.8430082761844
2,8151,429.91607740711066,470.1329327311395,628.5226131590272,347.4310291346115,878.9029942196456,643.6045164604011
2,8152,375.94443283968144,448.707439922523,1045.59610987657,619.8838814157172,438.6987727361161,777.5368340741541
2,8161,240.20228858073858,83.09282946880404,100.9126431578948,60.1629242186427,25.70482563760683,157.0369042665182
2,8162,336.9374994914906,164.7247531093027,-37.702817746520395,-31.97129995454995,40.323445065328,-116.15056496495939
