route_id,direction_id,stop_id_used,Cluster1,Cluster2,Cluster3,Cluster4,Cluster5,Cluster6
58,1,2133,25894.0::33885.0,34810.0::42970.0,43690.0::50890.0,51550.0::57825.0,58425.0::63850.0,64474.0::68794.0
19,0,3905,20177.0::32616.0,44897.0::45617.0,46337.0::48497.0,49217.0::52097.0,58296.0::60456.0,61176.0::63336.0
19,1,6448,26760.0::37740.0,47460.0::49440.0,51960.0::52260.0,58980.0::63360.0,64080.0::68400.0,87780.0::88740.0
18,0,2250,21420.0::26580.0,27360.0::33900.0,34440.0::42300.0,43020.0::51180.0,56220.0::64500.0,65100.0::72600.0
18,1,3018,22803.0::34215.0,34863.0::41823.0,43683.0::52383.0,57963.0::62523.0,63243.0::68043.0,68643.0::73803.0
61,0,3954,23359.0::34061.0,36341.0::45941.0,46541.0::54892.0,55492.0::61781.0,62261.0::67721.0,68141.0::72990.0
61,1,1153,20695.0::30770.0,31250.0::40643.0,41363.0::50183.0,50750.0::57830.0,58250.0::64190.0,64610.0::70403.0
69,0,1605,58674.0::58674.0,59394.0::60114.0,60834.0::61554.0,62274.0::62994.0,63714.0::64434.0,65154.0::65154.0
69,1,1669,58927.0::58927.0,59647.0::59647.0,60367.0::60367.0,61087.0::61807.0,62527.0::63247.0,63967.0::66127.0
70,0,1375,58320.0::58320.0,59040.0::59790.0,60510.0::61230.0,61950.0::62670.0,63360.0::64080.0,64800.0::64800.0
70,1,1659,59349.0::59349.0,60069.0::60069.0,60789.0::60789.0,61509.0::61509.0,62229.0::62229.0,62949.0::63669.0
59,0,6020,23765.0::34207.0,51861.0::55941.0,56541.0::60141.0,60741.0::63741.0,64341.0::66381.0,67101.0::68541.0
59,1,6058,21924.0::26615.0,27116.0::31916.0,49616.0::54126.0,54726.0::58326.0,58926.0::61926.0,62576.0::64376.0
28,0,1408,22324.0::30304.0,30904.0::38856.0,39576.0::46836.0,47496.0::54336.0,55056.0::62016.0,62616.0::70176.0
28,1,1456,24209.0::33313.0,33613.0::42073.0,42733.0::51313.0,51973.0::59473.0,59773.0::66553.0,76889.0::85289.0
26,0,5803G,19326.0::31897.0,32257.0::42097.0,42397.0::51997.0,52297.0::61297.0,61597.0::70746.0,71166.0::87546.0
26,1,5867F,22594.0::34445.0,34745.0::43985.0,44285.0::53285.0,53616.0::62196.0,62465.0::70954.0,71314.0::80374.0
68,0,6856B,27932.0::28652.0,29470.0::31690.0,45970.0::46630.0,56770.0::61270.0,62050.0::64090.0,64810.0::66812.0
68,1,1487,29367.0::47596.0,57676.0::61216.0,61936.0::64936.0,65656.0::67696.0,70156.0::70395.0,77105.0::77105.0
38,0,2165,27749.0::27749.0,33521.0::33521.0,56598.0::60235.0,61015.0::63175.0,63895.0::65298.0,67481.0::68921.0
38,1,2166,32742.0::32742.0,55169.0::55889.0,56549.0::57342.0,61949.0::62669.0,63389.0::64829.0,65549.0::66269.0
36,1,1963,21336.0::40430.0,54338.0::60938.0,61718.0::67232.0,71827.0::72392.0,75392.0::75392.0,85832.0::88776.0
36,0,1939,20416.0::25033.0,27884.0::34332.0,49364.0::49693.0,54164.0::56744.0,59860.0::64152.0,64872.0::68984.0
64,0,2345,24120.0::33600.0,34080.0::43740.0,44340.0::54480.0,55140.0::63960.0,64380.0::72300.0,75600.0::78780.0
64,1,3410,20700.0::29880.0,30360.0::39840.0,40440.0::49440.0,50040.0::57780.0,58380.0::65100.0,65580.0::72060.0
63,1,3307,20280.0::30000.0,30420.0::39720.0,40320.0::48900.0,49380.0::57000.0,57540.0::63780.0,64260.0::70860.0
63,0,2980,25020.0::36540.0,37140.0::46140.0,46740.0::56280.0,57000.0::64800.0,65280.0::71460.0,71880.0::77520.0
29,1,3216,25025.0::35045.0,35525.0::44970.0,45570.0::54030.0,54630.0::61410.0,61770.0::67710.0,68070.0::73745.0
29,0,1516,22871.0::33359.0,33731.0::43139.0,43739.0::52799.0,53399.0::60647.0,61007.0::67079.0,67439.0::72779.0
74,0,2863,26472.0::31585.0,32185.0::38412.0,39132.0::46332.0,47052.0::54205.0,56545.0::62725.0,63325.0::69852.0
74,1,2808,25719.0::30847.0,31507.0::37599.0,38319.0::45519.0,46179.0::53423.0,54083.0::60803.0,61403.0::68199.0
17,0,5045,24692.0::32252.0,32612.0::32612.0,53492.0::56732.0,57092.0::59672.0,60152.0::62072.0,62552.0::64292.0
17,1,3102,23830.0::31030.0,31390.0::31390.0,54430.0::56950.0,57310.0::59650.0,60130.0::61930.0,62530.0::63130.0
34,0,1714,25079.0::34455.0,34875.0::43875.0,44355.0::52472.0,53012.0::59886.0,60246.0::66409.0,66769.0::72299.0
34,1,1278,23400.0::33060.0,33420.0::42840.0,43320.0::51780.0,52380.0::59460.0,59820.0::66180.0,66600.0::73560.0
5,1,5770F,18720.0::30720.0,31080.0::42060.0,42540.0::52860.0,53340.0::62160.0,62520.0::71640.0,72240.0::89100.0
5,0,5707,19500.0::27840.0,28200.0::36480.0,36960.0::45960.0,46440.0::56280.0,56760.0::66840.0,67200.0::78660.0
6,0,5350G,17487.0::27724.0,28084.0::37744.0,38224.0::47824.0,48304.0::57281.0,57701.0::66641.0,67001.0::78244.0
6,1,5758F,20104.0::33380.0,33740.0::46520.0,47000.0::59600.0,59960.0::71000.0,71660.0::81424.0,84844.0::90364.0
1,1,8691,20188.0::31192.0,31502.0::42148.0,42598.0::53398.0,53848.0::63672.0,63982.0::74443.0,75043.0::85829.0
1,0,8272,20976.0::31897.0,32207.0::43227.0,43677.0::54927.0,55359.0::65633.0,65943.0::76255.0,76855.0::89755.0
2,1,8061,19877.0::31157.0,31467.0::41753.0,42203.0::53003.0,53453.0::63029.0,63339.0::73104.0,73704.0::83890.0
2,0,8062,22106.0::32194.0,32504.0::42973.0,43423.0::54223.0,54673.0::64054.0,64364.0::73360.0,73960.0::82960.0
3,1,8361,20959.0::34106.0,34486.0::45148.0,45598.0::55829.0,56207.0::65709.0,66089.0::75936.0,76536.0::87036.0
3,0,8352,20366.0::32002.0,32382.0::43066.0,43516.0::53866.0,54316.0::63617.0,63997.0::73003.0,73603.0::83203.0
4,1,8743,21517.0::32634.0,33014.0::43363.0,43813.0::54163.0,54613.0::64240.0,64620.0::74051.0,74651.0::88441.0
4,0,8322,21865.0::30902.0,31282.0::41258.0,41708.0::52058.0,52508.0::62128.0,62508.0::71197.0,74702.0::83102.0
72,1,3959,26023.0::28903.0,29683.0::32563.0,58209.0::61089.0,61843.0::64003.0,64723.0::66129.0,66849.0::67569.0
72,0,3902,26264.0::28370.0,29117.0::31250.0,57824.0::58544.0,59264.0::60704.0,61424.0::62144.0,62864.0::63584.0
71,1,3804B,25959.0::33203.0,35483.0::43403.0,44123.0::52043.0,52763.0::59243.0,59963.0::65679.0,84775.0::84775.0
71,0,3856,25260.0::34620.0,35340.0::43260.0,43980.0::51180.0,51900.0::59100.0,59820.0::66960.0,80580.0::80580.0
21,0,6800,22020.0::29400.0,31620.0::39240.0,39960.0::46440.0,47160.0::52860.0,53580.0::58320.0,59040.0::63480.0
21,1,2871,24006.0::34206.0,34866.0::43386.0,44106.0::51306.0,52026.0::57879.0,60159.0::63759.0,64479.0::67266.0
39,1,1977,22740.0::34320.0,34800.0::44460.0,45060.0::54060.0,54720.0::61740.0,62100.0::68640.0,69060.0::75420.0
39,0,1903,25084.0::35196.0,35616.0::45756.0,46356.0::55896.0,56556.0::64328.0,64688.0::71768.0,72336.0::79596.0
60,0,3251,23220.0::33600.0,34020.0::44040.0,44700.0::55500.0,56100.0::64800.0,65160.0::73200.0,84840.0::85320.0
60,1,3217,21943.0::30408.0,30828.0::39583.0,40183.0::49183.0,49783.0::57223.0,57823.0::64303.0,64663.0::70871.0
