route_id,stop_id,Cluster1,Cluster2,Cluster3,Cluster4,Cluster5,Cluster6
2,8272,21701.0::31742.0::304.27272727272725,32052.0::42552.0::350.0,43002.0::53802.0::450.0,54252.0::63618.0::322.9655172413793,63928.0::72955.0::322.39285714285717,73555.0::82555.0::642.8571428571429
2,8012,21767.0::31813.0::304.42424242424244,32123.0::42619.0::349.8666666666667,43069.0::53869.0::450.0,54319.0::63686.0::323.0,63996.0::73021.0::322.32142857142856,73621.0::82621.0::642.8571428571429
2,8022,21848.0::31897.0::304.5151515151515,32207.0::42703.0::349.8666666666667,43153.0::53953.0::450.0,54403.0::63770.0::323.0,64080.0::73102.0::322.2142857142857,73702.0::82702.0::642.8571428571429
2,8032,21905.0::31971.0::305.030303030303,32281.0::42764.0::349.43333333333334,43214.0::54014.0::450.0,54464.0::63839.0::323.2758620689655,64149.0::73159.0::321.7857142857143,73759.0::82759.0::642.8571428571429
2,8042,21971.0::32045.0::305.27272727272725,32355.0::42832.0::349.23333333333335,43282.0::54082.0::450.0,54532.0::63909.0::323.3448275862069,64219.0::73225.0::321.64285714285717,73825.0::82825.0::642.8571428571429
2,8052,22046.0::32128.0::305.5151515151515,32438.0::42910.0::349.06666666666666,43360.0::54160.0::450.0,54610.0::63989.0::323.41379310344826,64299.0::73300.0::321.4642857142857,73900.0::82900.0::642.8571428571429
2,8062,22106.0::32194.0::305.6969696969697,32504.0::42973.0::348.96666666666664,43423.0::54223.0::450.0,54673.0::64054.0::323.48275862068965,64364.0::73360.0::321.2857142857143,73960.0::82960.0::642.8571428571429
2,8072,20906.0::31999.0::316.9428571428571,32309.0::43534.0::350.78125,43984.0::54784.0::400.0,55234.0::64477.0::318.7241379310345,64787.0::73467.0::321.48148148148147,74067.0::83067.0::642.8571428571429
2,8082,20986.0::32088.0::317.2,32398.0::43617.0::350.59375,44067.0::54867.0::400.0,55317.0::64564.0::318.86206896551727,64874.0::73547.0::321.22222222222223,74147.0::83147.0::642.8571428571429
2,8092,21061.0::32171.0::317.42857142857144,32481.0::43696.0::350.46875,44146.0::54946.0::400.0,55396.0::64645.0::318.9310344827586,64955.0::73622.0::321.0,74222.0::83222.0::642.8571428571429
2,8102,21122.0::32235.0::317.51428571428573,32545.0::43759.0::350.4375,44209.0::55009.0::400.0,55459.0::64709.0::318.9655172413793,65019.0::73683.0::320.8888888888889,74283.0::83283.0::642.8571428571429
2,8112,21195.0::32313.0::317.65714285714284,32623.0::43834.0::350.34375,44284.0::55084.0::400.0,55534.0::64785.0::319.0,65095.0::73756.0::320.77777777777777,74356.0::83356.0::642.8571428571429
2,8122,21281.0::32404.0::317.8,32714.0::43922.0::350.25,44372.0::55172.0::400.0,55622.0::64874.0::319.0344827586207,65184.0::73842.0::320.6666666666667,74442.0::83442.0::642.8571428571429
2,8132,21364.0::32491.0::317.9142857142857,32801.0::44010.0::350.28125,44460.0::55260.0::400.0,55710.0::64962.0::319.0344827586207,65272.0::73925.0::320.48148148148147,74525.0::83525.0::642.8571428571429
2,8142,21430.0::32562.0::318.0571428571429,32872.0::44078.0::350.1875,44528.0::55328.0::400.0,55778.0::65031.0::319.0689655172414,65341.0::73991.0::320.3703703703704,74591.0::83591.0::642.8571428571429
2,8152,21500.0::32638.0::318.22857142857146,32948.0::44151.0::350.09375,44601.0::55401.0::400.0,55851.0::65106.0::319.13793103448273,65416.0::74061.0::320.18518518518516,74661.0::83661.0::642.8571428571429
4,8381,21450.0::32559.0::411.44444444444446,32939.0::43288.0::413.96,43738.0::54088.0::450.0,54538.0::63786.0::385.3333333333333,64166.0::73384.0::400.7826086956522,73984.0::88374.0::600.0
4,8743,21517.0::32634.0::411.74074074074076,33014.0::43363.0::413.96,43813.0::54163.0::450.0,54613.0::64240.0::385.08,64620.0::74051.0::410.04347826086956,74651.0::88441.0::600.0
4,8753,21588.0::32711.0::411.962962962963,33091.0::43437.0::413.84,43887.0::54237.0::450.0,54687.0::64317.0::385.2,64697.0::74122.0::409.7826086956522,74722.0::88512.0::600.0
4,8763,21673.0::32805.0::412.2962962962963,33185.0::43530.0::413.8,43980.0::54330.0::450.0,54780.0::64411.0::385.24,64791.0::74207.0::409.39130434782606,74807.0::88597.0::600.0
4,8471,20376.0::32515.0::394.7037037037037,32895.0::43011.0::421.5,43461.0::53361.0::450.0,53811.0::62964.0::381.375,63344.0::72310.0::407.54545454545456,72910.0::87300.0::600.0
4,8461,20438.0::32577.0::394.7037037037037,32957.0::43073.0::421.5,43523.0::53423.0::450.0,53873.0::63026.0::381.375,63406.0::72372.0::407.54545454545456,72972.0::87362.0::600.0
4,8441,20523.0::32671.0::395.037037037037,33051.0::43166.0::421.4583333333333,43616.0::53516.0::450.0,53966.0::63120.0::381.4166666666667,63500.0::72457.0::407.1363636363636,73057.0::87447.0::600.0
4,8431,20590.0::32747.0::395.3703703703704,33127.0::43241.0::421.4166666666667,43691.0::53591.0::450.0,54041.0::63195.0::381.4166666666667,63575.0::72524.0::406.77272727272725,73124.0::87514.0::600.0
4,8421,20665.0::32828.0::395.5925925925926,33208.0::43321.0::421.375,43771.0::53671.0::450.0,54121.0::63275.0::381.4166666666667,63655.0::72599.0::406.54545454545456,73199.0::87589.0::600.0
4,8411,20735.0::32907.0::395.9259259259259,33287.0::43398.0::421.2916666666667,43848.0::53748.0::450.0,54198.0::63353.0::381.4583333333333,63733.0::72669.0::406.1818181818182,73269.0::87659.0::600.0
4,8401,20798.0::32979.0::396.25925925925924,33359.0::43469.0::421.25,43919.0::53819.0::450.0,54269.0::63426.0::381.5416666666667,63806.0::72732.0::405.72727272727275,73332.0::87722.0::600.0
4,8301,20873.0::33061.0::396.51851851851853,33441.0::43548.0::421.125,43998.0::53898.0::450.0,54348.0::63507.0::381.625,63887.0::72807.0::405.45454545454544,73407.0::87797.0::600.0
4,8311,20944.0::33142.0::396.8888888888889,33522.0::43627.0::421.0416666666667,44077.0::53977.0::450.0,54427.0::63589.0::381.75,63969.0::72878.0::404.95454545454544,73478.0::87868.0::600.0
4,8321,21016.0::33222.0::397.18518518518516,33602.0::43708.0::421.0833333333333,44158.0::54058.0::450.0,54508.0::63672.0::381.8333333333333,64052.0::72950.0::404.45454545454544,73550.0::87940.0::600.0
4,8331,21079.0::33294.0::397.51851851851853,33674.0::43780.0::421.0833333333333,44230.0::54130.0::450.0,54580.0::63748.0::382.0,64128.0::73013.0::403.8636363636364,73613.0::88003.0::600.0
4,8341,21142.0::33364.0::397.77777777777777,33744.0::43850.0::421.0833333333333,44300.0::54200.0::450.0,54650.0::63820.0::382.0833333333333,64200.0::73076.0::403.45454545454544,73676.0::88066.0::600.0
