1,8731,"21392.1930000782,21906.86999988556,22118.946000099182,23247.22199988365,24872.947000026703,25256.982000112534,25414.78500008583,27921.196000099182,28174.43799996376,28455.022000074387,28707.855000019073,28937.645999908447,29188.328000068665,34105.924999952316,34454.40100002289,34866.57299995422,35244.53999996185,35721.22300004959,36098.266999959946,36415.8180000782,37218.55200004578,37467.700000047684,37719.507999897,38229.77999997139,38704.00500011444,38958.47399997711,39436.795000076294,39689.424000024796,40006.05500006676,40352.99399995804,40796.40000009537,41335.96199989319,42840.861999988556,43307.40700006485,43339.56100010872,44001.078999996185,44603.72000002861,44860.44400000572,45489.707000017166,45713.96700000763,46129.31100010872,48226.72300004959,48514.06699991226,48890.09200000763,50074.67899990082,50300.168999910355,50780.43799996376,51707.27900004387,52066.81299996376,53088.673000097275,53537.18799996376,53727.65400004387,53760.013999938965,54799.99900007248,55820.328000068665,56039.36500000954,56262.39700007439,56515.63700008392,56928.828000068665,57214.01799988747,57471.35400009155,57915.983000040054,58201.48000001907,58425.94499993324,58682.97499990463,59476.18099999428,59701.97799992561,59831.516999959946,59896.44000005722,60367.796999931335,60619.80900001526,60942.78500008583,61226.84800004959,61450.18700003624,61762.41100001335,62301.35400009155,62583.47199988365,62867.74099993706,63500.99900007248,64041.58299994469,64264.33800005913,64391.59599995613,64734.951999902725,65049.74000000954,65591.14700007439,65812.64800000191,66131.94000005722,66453.48600006104,66802.37400007248,67056.33500003815,67732.91400003433,68115.18499994278,68458.43899989128,68908.29299998283,69166.75600004196,69480.41400003433,69700.16799998283,70112.62800002098,70495.83100008965,71439.46399998665,71657.5799999237,72032.47600007057,72159.04399991035,72508.95199990273,73549.66599988937,74236.37800002098,74548.70700001717,75300.95900011063,75987.46900010109,76392.3710000515,77226.85299992561,77669.6440000534,79350.69099998474,80509.47900009155,81129.42100000381,81625.35500001907,82210.58200001717,82860.42899990082,83418.11299991608,84040.71499991417,84684.61999988556"
1,8732,21574.88000011444
1,8742,"21453.634999990463,21695.8180000782,21968.31200003624,22306.433000087738,22587.644999980927,22871.608000040054,23368.46700000763,24686.18799996376,24967.28399991989,25287.805000066757,25689.326999902725,26008.0039999485,26294.322000026703,26713.96900010109,26969.770999908447,27315.176000118256,27635.388999938965,28014.69000005722,28267.420000076294,28550.8710000515,28903.546000003815,32647.50099992752,32961.77600002289,33312.71099996567,33665.079999923706,33855.34400010109,34232.700000047684,34551.07100009918,34866.57299995422,35211.97600007057,35751.328000068665,36159.09500002861,36321.40400004387,36541.671000003815,36765.11299991608,37250.91100001335,37561.5,37784.84200000763,38545.28099989891,38766.674999952316,39371.87199997902,39594.90599989891,39847.94400000572,40541.21099996567,40920.921999931335,41272.573999881744,41522.641999959946,41835.84599995613,42306.016000032425,42779.625,43276.58699989319,43719.984999895096,44285.86299991608,44797.05599999428,45021.93300008774,45458.47399997711,46193.74399995804,46699.28099989891,46923.546000003815,47370.53200006485,47845.62700009346,48321.549000024796,48606.638999938965,49048.608000040054,49723.43899989128,50074.67899990082,50392.84200000763,50972.85299992561,51291.834000110626,51872.55599999428,52518.60400009155,52645.171999931335,53412.361000061035,53664.6779999733,54013.96700000763,54454.18899989128,54924.519000053406,55304.019000053406,55788.584000110626,56295.16499996185,56740.3069999218,56959.4470000267,57214.01799988747,57597.81999993324,57883.111999988556,58170.55399990082,58393.176000118256,58778.31100010872,59155.66300010681,59349.203000068665,59896.44000005722,60113.736999988556,60400.361000061035,60715.55500006676,60975.451999902725,61321.98000001907,61577.6779999733,61731.99799990654,62268.891999959946,62741.78600001335,62963.69199991226,63284.007999897,63500.99900007248,63722.49699997902,64168.38199996948,64486.21499991417,64734.951999902725,64988.09400010109,65240.825000047684,65622.68700003624,65940.85500001907,66291.68899989128,66420.00099992752,66962.84100008011,67479.77500009537,67860.50900006294,68081.69899988174,68304.11800003052,68553.46900010109,68875.62700009346,69388.04699993134,69512.46600008011,69859.50600004196,70176.54200005531,70402.44199991226,70714.15199995041,71000.87700009346,71501.41799998283,71877.74499988556,72096.47600007057,72476.49000000954,72953.68499994278,73737.47300004959,74236.37800002098,75053.24499988556,75394.45199990273,75987.46900010109,76641.92700004578,77038.84100008011,77605.55500006676,78107.21099996567,78760.02900004387,79445.41400003433,79883.3900001049,80509.47900009155,81129.42100000381,81716.3900001049,82304.0759999752,82892.37800002098,83697.15799999237,84744.93499994278,87121.98600006104"
2,8743,"22211.31399989128,23277.53299999237,24778.862999916077,25129.59200000763,25507.357000112534,26808.99900007248,27348.048000097275,28519.023999929428,30492.94099998474,30844.490999937057,31161.786999940872,31569.81100010872,32046.47300004959,32429.075000047684,33058.03500008583,33823.49699997902,34614.457000017166,34957.915999889374,35659.165999889374,36098.266999959946,36830.34500002861,37313.0720000267,37784.84200000763,38041.66700005531,38545.28099989891,39244.58599996567,39817.4279999733,41242.16100001335,41679.31599998474,42025.43499994278,42522.59599995613,42902.3029999733,43371.40799999237,43814.09299993515,44285.86299991608,44700.081000089645,45647.3029999733,46510.045000076294,47020.31900000572,47402.3789999485,47845.62700009346,48418.11500000954,49400.769000053406,49819.28800010681,51260.39899992943,51354.70799994469,52002.605999946594,52100.605999946594,52358.448999881744,53537.18799996376,53824.62800002098,54454.18899989128,55527.97099995613,55913.39899992943,56198.60100007057,57214.01799988747,57405.09999990463,58201.48000001907,58615.90100002289,59349.203000068665,59669.823999881744,60080.859999895096,60433.74399995804,61226.84800004959,61669.22499990463,61982.78099989891,62393.72099995613,62772.40400004387,63123.14700007439,63598.17899990082,64041.58299994469,64486.21499991417,64766.390000104904,65019.736000061035,65459.96799993515,65909.31500005722,66196.14700007439,66899.45300006866,67732.91400003433,68648.60100007057,69068.96199989319,69356.30200004578,70112.62800002098,70777.2309999466,71218.1740000248,71752.20000004768,72222.02099990845,72860.90799999237,73393.29800009727,74015.82500004768,74329.76999998093,74833.28399991989,75521.3299999237,76517.20000004768,78355.53900003433,79759.38000011444,84320.58200001717,88780.99499988556"
2,8422,"22620.61899995804,23030.43499994278,23156.084000110626,24525.72199988365,24872.947000026703,25225.134000062943,25659.015000104904,25943.180000066757,26586.6819999218,26808.99900007248,27127.676000118256,27509.025000095367,27982.433000087738,28645.799000024796,28839.441999912262,29379.72000002861,30398.319999933243,30876.74799990654,31318.41100001335,31761.305000066757,32140.196000099182,32739.049000024796,32930.132999897,33216.34899997711,33950.3710000515,34802.8789999485,35147.46300005913,35499.52200007439,36733.676000118256,37625.09299993515,37948.37800002098,38514.457000017166,39436.795000076294,40258.27200007439,41242.16100001335,41773.62800002098,42618.549000024796,43435.825000047684,44350.37700009346,44764.799999952316,45241.11500000954,45681.40300011635,46193.74399995804,47052.983000040054,47498.638999938965,48101.894000053406,48418.11500000954,49048.608000040054,49755.90100002289,50557.608000040054,53088.673000097275,53727.65400004387,53856.576999902725,54421.72799992561,54766.513999938965,55240.22300004959,55626.68700003624,56482.93499994278,56805.84400010109,57566.075999975204,57946.293999910355,58360.920000076294,58808.62800002098,59092.890000104904,59476.18099999428,59926.546000003815,60305.22900009155,60747.91400003433,61100.073999881744,61482.239000082016,61982.78099989891,62238.37599992752,62679.013999938965,63500.99900007248,63945.9279999733,64168.38199996948,64359.64499998093,64957.986999988556,65365.65499997139,65718.2309999466,66226.25300002098,66485.33400011063,67024.7950000763,67701.06699991226,67956.76799988747,68272.88499999046,68714.95700001717,69356.30200004578,70018.74000000954,70651.99399995804,71157.65400004387,71344.52600002289,71752.20000004768,72096.47600007057,72285.71499991417,74173.70799994469,75457.83999991417,76360.83100008965,77164.28500008583,78043.82399988174,78293.68799996376,78948.5529999733,79946.6740000248,81255.17300009727,81746.80399990082,82304.0759999752,82892.37800002098,83480.47600007057,84163.08599996567"
2,8432,"22684.210999965668,23093.618000030518,23247.22199988365,24589.72399997711,24935.642999887466,25287.805000066757,25720.150000095367,26041.490000009537,26652.015000104904,26873.102999925613,27220.02699995041,27573.743000030518,28707.855000019073,28937.645999908447,29443.209000110626,30046.036999940872,30460.68400001526,30940.444000005722,31380.671999931335,31855.822999954224,32236.351999998093,32801.30999994278,32993.72499990463,33280.55599999428,33665.079999923706,34044.483000040054,34897.19099998474,35244.53999996185,35563.21600008011,36321.40400004387,36798.290999889374,37282.55599999428,37687.66100001335,38041.66700005531,38576.82100009918,39021.040999889374,39499.5680000782,39910.00300002098,40352.99399995804,41303.8069999218,41835.84599995613,42213.34200000763,42681.421999931335,43057.85299992561,43498.079999923706,43968.924999952316,44413.046000003815,44860.44400000572,45333.03099989891,45745.50699996948,46258.64599990845,46699.28099989891,47147.60199999809,47560.796000003815,48164.257999897,48481.09299993515,49146.50500011444,49819.28800010681,52581.99099993706,53186.97699999809,53824.62800002098,53951.707000017166,54484.1930000782,54861.02999997139,55304.019000053406,55691.200000047684,56578.71600008011,56867.38700008392,57629.56500005722,58040.81100010872,58425.94499993324,58872.31599998474,59187.71399998665,59572.84899997711,60367.796999931335,60844.78600001335,61163.15400004387,61577.6779999733,62078.15100002289,62301.35400009155,62741.78600001335,62995.84599995613,63598.17899990082,64232.88199996948,64454.47000002861,65019.736000061035,65459.96799993515,65780.90100002289,66324.44099998474,66580.97900009155,67056.33500003815,67479.77500009537,67796.60899996758,68019.02900004387,68335.24799990654,68778.14100003242,69068.96199989319,69418.46099996567,70080.69400000572,70745.07699990273,71249.61100006104,71439.46399998665,71815.38199996948,72159.04399991035,72348.89800000191,74236.37800002098,75521.3299999237,75957.46499991417,77258.70000004768,78139.26300001144,78385.74699997902,78980.09299993515,79508.79999995232,80009.34500002861,80851.50200009346,81318.45600008965,81807.32299995422,82398.80100011826,82985.61100006104,83542.32699990273,84225.03900003433,86288.84599995613,87400.92899990082"
2,8442,"22777.295000076294,23186.292000055313,23307.640000104904,24653.829999923706,25032.515000104904,25383.552000045776,25815.180000066757,26105.492000102997,26713.96900010109,26969.770999908447,27282.71399998665,27635.388999938965,28109.515000104904,28806.16100001335,29001.03299999237,29540.59400010109,30142.671999931335,30523.046999931335,31034.34500002861,31444.06100010872,31919.31200003624,32300.55900001526,32899.00300002098,33088.698999881744,33376.81500005722,33728.16000008583,34105.924999952316,34957.915999889374,35308.85400009155,35659.165999889374,36382.84500002861,36893.117000103,37343.483999967575,37784.84200000763,38104.13199996948,38672.05599999428,39116.27600002289,39594.90599989891,40006.05500006676,40447.614000082016,41366.171000003815,41930.91700005531,42306.016000032425,42779.625,43151.141000032425,43593.72399997711,44033.540999889374,44509.09999990463,44957.828999996185,45395.18899989128,45841.66199994087,46352.65199995041,46763.799000024796,47242.11899995804,47654.80200004578,48259.28900003433,48576.43000006676,48986.14299988747,49213.170000076294,49881.42700004578,50714.28500008583,52645.171999931335,53251.796999931335,53888.52600002289,54044.38100004196,54578.50600004196,54924.519000053406,55755.507999897,56675.58800005913,56959.4470000267,57501.97199988365,57727.15400004387,58138.707000017166,58489.02500009537,58999.80800008774,59252.329999923706,59636.236000061035,60113.736999988556,60433.74399995804,60942.78500008583,61226.84800004959,61638.81200003624,62142.11800003052,62363.3069999218,62836.40599989891,63092.41199994087,63660.234999895096,64104.867000103,64326.671000003815,64518.88199996948,65112.71799993515,65526.325999975204,65877.367000103,66388.25600004196,66644.16100001335,67152.18600010872,67576.44199991226,67860.50900006294,68145.69099998474,68458.43899989128,68875.62700009346,69166.75600004196,69512.46600008011,70144.28500008583,70808.46399998665,71312.69099998474,71501.41799998283,71877.74499988556,72253.60500001907,72444.54099988937,74299.35700011253,75616.56500005722,76017.882999897,76485.4549999237,77321.6779999733,78201.42300009727,78447.39499998093,79072.56299996376,79603.3180000782,80102.68700003624,80943.76600003242,81380.71600008011,81868.35400009155,82461.26399993896,83049.05399990082,83633.87299990654,84287.6210000515,86381.007999897,87492.27099990845"
2,8462,"22839.862999916077,23277.53299999237,23400.6210000515,24778.862999916077,25097.02800011635,25475.918999910355,25880.204999923706,26199.599999904633,26808.99900007248,27033.773000001907,27380.25500011444,27760.013999938965,28205.055999994278,28903.546000003815,29064.421000003815,29636.239000082016,30238.161999940872,30619.8180000782,31096.607000112534,31538.578000068665,32046.47300004959,32395.28200006485,32993.72499990463,33249.016000032425,33442.55800008774,33823.49699997902,34200.03299999237,35082.84699988365,35403.16100001335,35751.328000068665,36476.84999990463,37437.28500008583,37885.19600009918,38229.77999997139,38925.15199995041,39212.739000082016,39658.295000076294,40101.801000118256,40541.21099996567,41459.66400003433,42025.43499994278,42399.81599998474,42871.924999952316,43243.611000061035,43656.39299988747,44126.62599992752,44603.72000002861,45085.11599993706,45521.450999975204,45936.69199991226,46446.14599990845,46891.80200004578,47306.52999997139,47749.52500009537,48321.549000024796,48701.25999999046,49080.96700000763,49305.52399992943,49978.12299990654,50812.08599996567,52740.609999895096,53347.84899997711,53981.81299996376,54139.611999988556,54673.02099990845,55019.44499993324,55463.765000104904,55851.049000024796,56773.99699997902,57052.52999997139,57629.56500005722,57820.85199999809,58201.48000001907,58615.90100002289,59123.611000061035,59349.203000068665,59797.81500005722,60526.72499990463,61037.71199989319,61321.98000001907,61731.99799990654,62238.37599992752,62487.21399998665,62932.56200003624,63185.90799999237,63756.18700003624,64200.81900000572,64454.47000002861,64641.97000002861,65207.64599990845,65622.68700003624,65973.82899999619,66485.33400011063,66738.57699990273,67248.03399991989,67669.79399991035,67986.97600007057,68241.4470000267,68584.59899997711,68939.42300009727,69261.0680000782,69605.4470000267,70239.92899990082,70903.18499994278,71406.38899993896,71595.73000001907,71969.80500006676,72317.66499996185,72542.13000011444,74392.54299998283,75679.54299998283,76139.43600010872,76579.97300004959,77446.40499997139,78262.65899991989,78539.65899991989,79163.80399990082,79696.40199995041,80197.04800009727,81036.64499998093,81472.36599993706,81959.6970000267,82553.73300004005,83141.1289999485,83727.6740000248,84382.125,86441.42499995232,87584.4319999218"
3,5771,"18876.460000038147,19238.25,20218.963000059128,20859.697999954224,21235.72199988365,22462.09899997711,22587.644999980927,23247.22199988365,23400.6210000515,25628.295000076294,26137.33899998665,26842.483999967575,27127.676000118256,28359.173000097275,28519.023999929428,28740.930999994278,29379.72000002861,29540.59400010109,30046.036999940872,30175.798000097275,31287.792999982834,31696.9960000515,31982.085999965668,32739.049000024796,32899.00300002098,33088.698999881744,33442.55800008774,33885.859999895096,34454.40100002289,35876.30399990082,36382.84500002861,36638.542999982834,36893.117000103,37313.0720000267,37816.68899989128,38514.457000017166,38640.515000104904,39436.795000076294,40196.01200008392,40478.950000047684,41140.67899990082,42555.05800008774,43276.58699989319,43498.079999923706,44158.165999889374,44603.72000002861,44957.828999996185,46033.97399997711,46226.40499997139,47529.358999967575,47592.644000053406,47845.62700009346,48354.3180000782,49400.769000053406,50008.6289999485,50041.5,50460.03299999237,51036.85400009155,51164.65300011635,51577.02300000191,52135.010999917984,54233.10500001907,54766.513999938965,55722.22699999809,56867.38700008392,56928.828000068665,57566.075999975204,58072.87599992752,58425.94499993324,58967.549999952316,59092.890000104904,60019.52699995041,60337.793999910355,60942.78500008583,61638.81200003624,62301.35400009155,63058.61899995804,63565.00099992752,63818.85700011253,64137.331000089645,64581.040999889374,64829.16300010681,65112.71799993515,65526.325999975204,65718.2309999466,66131.94000005722,66613.64499998093,66962.84100008011,67479.77500009537,67732.91400003433,67956.76799988747,68335.24799990654,68778.14100003242,69418.46099996567,70208.0680000782,70556.34999990463,71376.07800006866,71657.5799999237,72828.7539999485,73612.6440000534,75362.60500001907,76360.83100008965,77164.28500008583,77858.47499990463,78447.39499998093,79759.38000011444,80788.35299992561,81286.50600004196,82337.15199995041,83978.76200008392,85886.81699991226,86592.67300009727,87740.90199995041,88499.6970000267,89183.12599992752,89304.16899991035"
3,5772,"19298.769999980927,20889.700999975204,21298.59599995613,22557.02600002289,22652.773000001907,23338.46399998665,23496.47099995613,24778.862999916077,25720.150000095367,25752.632999897003,26231.447000026703,27188.707999944687,27573.743000030518,28455.022000074387,28614.463000059128,28806.16100001335,29605.00600004196,30110.670000076294,30270.009000062943,30554.792000055313,31096.607000112534,31380.671999931335,31791.923000097275,32109.884999990463,32801.30999994278,32961.77600002289,33183.47799992561,33505.331000089645,33981.299999952316,34519.22199988365,34675.38700008392,36476.84999990463,36733.676000118256,36959.165999889374,37375.43300008774,37885.19600009918,38609.28200006485,38766.674999952316,39499.5680000782,39722.60299992561,40258.27200007439,40541.21099996567,41242.16100001335,42618.549000024796,43371.40799999237,43561.57100009918,44700.081000089645,45054.29200005531,46129.31100010872,46288.75200009346,47592.644000053406,47684.90899991989,47941.01799988747,48450.269000053406,49499.58699989319,49881.42700004578,50074.67899990082,50138.78200006485,50171.96099996567,50524.736999988556,51133.111000061035,52229.015000104904,52708.14899992943,53567.703999996185,54861.02999997139,55820.328000068665,56546.25500011444,56990.269000053406,57052.52999997139,57662.94799995422,58170.55399990082,58520.15499997139,59219.97099995613,59476.18099999428,60113.736999988556,60337.793999910355,60400.361000061035,61037.71199989319,63660.234999895096,63913.6819999218,64200.81900000572,64641.97000002861,64893.88199996948,65622.68700003624,65812.64800000191,66196.14700007439,66675.90599989891,67056.33500003815,67576.44199991226,67828.25200009346,68019.02900004387,68427.20600008965,68875.62700009346,69512.46600008011,70271.67300009727,70682.71399998665,71752.20000004768,72508.95199990273,72891.6289999485,73674.29099988937,74360.90000009537,74894.62299990654,75457.83999991417,76422.60899996758,77258.70000004768,77951.7650001049,78539.65899991989,79540.45000004768,79852.56599998474,81380.71600008011,82398.80100011826,83262.56399989128,84071.2309999466,88531.23699998856,89274.16100001335,89364.68400001526"
