route_id,stop_id,ArrivalTime
2,8161,73275.0
2,8161,83775.0
2,8161,86175.0
2,8161,87375.0
2,8151,19073.0
2,8151,71249.0
2,8151,83775.0
2,8151,84675.0
2,8151,85875.0
2,8141,19134.0
2,8141,71320.0
2,8141,83846.0
2,8141,84746.0
2,8141,85946.0
2,8131,19215.0
2,8131,71387.0
2,8131,83913.0
2,8131,84813.0
2,8131,86013.0
2,8121,19321.0
2,8121,71468.0
2,8121,83994.0
2,8121,84894.0
2,8121,86094.0
2,8111,19431.0
2,8111,71557.0
2,8111,84083.0
2,8111,84983.0
2,8111,86183.0
2,8101,19520.0
2,8101,71636.0
2,8101,84162.0
2,8101,85062.0
2,8101,86262.0
2,8091,19595.0
2,8091,71697.0
2,8091,84223.0
2,8091,85123.0
2,8091,86323.0
2,8081,19669.0
2,8081,71768.0
2,8081,84294.0
2,8081,85194.0
2,8081,86394.0
2,8071,71853.0
2,8071,84379.0
2,8071,85279.0
2,8071,86479.0
2,8061,71964.0
2,8061,84490.0
2,8061,85390.0
2,8061,86590.0
2,8051,72025.0
2,8051,84551.0
2,8051,85451.0
2,8051,86651.0
2,8041,72095.0
2,8041,84621.0
2,8041,85521.0
2,8041,86721.0
2,8031,72172.0
2,8031,84698.0
2,8031,85598.0
2,8031,86798.0
2,8021,72224.0
2,8021,84750.0
2,8021,85650.0
2,8021,86850.0
2,8011,72307.0
2,8011,84833.0
2,8011,85733.0
2,8011,86933.0
2,8271,72379.0
2,8271,84905.0
2,8271,85805.0
2,8271,87005.0
2,8281,72462.0
2,8281,84988.0
2,8281,85888.0
2,8281,87088.0
2,8291,72536.0
2,8291,85062.0
2,8291,85962.0
2,8291,87162.0
2,8741,72630.0
2,8741,85156.0
2,8741,86056.0
2,8741,87256.0
2,8731,72702.0
2,8731,85228.0
2,8731,86128.0
2,8731,87328.0
2,8162,40320.0
2,8162,74096.0
2,8733,20228.0
2,8733,73239.0
2,8733,82839.0
2,8733,83619.0
2,8733,84639.0
2,8733,85839.0
2,8742,20285.0
2,8742,73296.0
2,8742,82896.0
2,8742,83676.0
2,8742,84696.0
2,8742,85896.0
2,8292,20386.0
2,8292,73397.0
2,8292,82997.0
2,8292,83777.0
2,8292,84797.0
2,8292,85997.0
2,8282,20458.0
2,8282,73469.0
2,8282,83069.0
2,8282,83849.0
