route_id,stop_id,ArrivalTime
2,8161,19800.0
2,8161,19939.0
2,8161,20433.0
2,8161,20700.0
2,8161,21053.0
2,8161,21764.0
2,8161,22293.0
2,8161,22533.0
2,8161,22893.0
2,8161,23106.0
2,8161,23496.0
2,8161,23742.0
2,8161,24126.0
2,8161,24401.0
2,8161,24746.0
2,8161,25007.0
2,8161,25366.0
2,8161,25627.0
2,8161,25986.0
2,8161,26247.0
2,8161,26606.0
2,8161,26867.0
2,8161,27226.0
2,8161,27487.0
2,8161,27846.0
2,8161,28107.0
2,8161,28466.0
2,8161,28727.0
2,8161,29086.0
2,8161,29347.0
2,8161,29706.0
2,8161,29967.0
2,8161,30326.0
2,8161,30587.0
2,8161,30946.0
2,8161,31207.0
2,8161,31566.0
2,8161,31827.0
2,8161,32186.0
2,8161,32447.0
2,8161,32806.0
2,8161,33067.0
2,8161,33426.0
2,8161,33687.0
2,8161,34046.0
2,8161,34307.0
2,8161,34666.0
2,8161,34927.0
2,8161,35286.0
2,8161,35547.0
2,8161,35906.0
2,8161,36167.0
2,8161,36526.0
2,8161,36787.0
2,8161,37215.0
2,8161,37407.0
2,8161,37846.0
2,8161,38021.0
2,8161,38628.0
2,8161,39142.0
2,8161,39248.0
2,8161,39592.0
2,8161,39868.0
2,8161,40492.0
2,8161,40667.0
2,8161,40942.0
2,8161,41117.0
2,8161,41392.0
2,8161,41582.0
2,8161,41842.0
2,8161,42017.0
2,8161,42292.0
2,8161,42467.0
2,8161,42742.0
2,8161,42917.0
2,8161,43192.0
2,8161,43367.0
2,8161,43642.0
2,8161,43817.0
2,8161,44092.0
2,8161,44267.0
2,8161,44542.0
2,8161,44717.0
2,8161,44992.0
2,8161,45167.0
2,8161,45442.0
2,8161,45617.0
2,8161,45892.0
2,8161,46067.0
2,8161,46342.0
2,8161,46517.0
2,8161,46792.0
2,8161,46967.0
2,8161,47242.0
2,8161,47417.0
2,8161,47692.0
2,8161,47867.0
2,8161,48142.0
2,8161,48317.0
2,8161,48592.0
2,8161,48767.0
2,8161,49042.0
2,8161,49217.0
2,8161,49492.0
2,8161,49667.0
